# cycle	R.palustris	Synechococcus	co2_e	h2_e	n2_e	sucr_e
195.0	0.29825569204	0.28776393335	90.206202733	0.80131989475	27.198680105	0.008335570728399999
196.0	0.29989022859	0.28809477324	90.152770235	0.80792644736	27.192073553	0.0083451540672
197.0	0.30153320262	0.28842599349	90.09932508	0.8145671029699999	27.185432897	0.0083547484239
198.0	0.30318465714	0.28875759454	90.045867499	0.8212420354800001	27.178757965	0.008364353811100001
199.0	0.30484463541	0.28908957682	89.992397725	0.82795141969	27.17204858	0.0083739702415
200.0	0.30651318088	0.28942194079	89.938915992	0.83469543128	27.165304569	0.0083835977279
201.0	0.30819033725	0.28975468687	89.88542253700001	0.8414742468199999	27.158525753000003	0.008393236283
202.0	0.30987614842	0.29008781551	89.83191759600001	0.84828804377	27.151711956	0.0084028859194
203.0	0.31157065853	0.29042132715	89.77840141	0.85513700052	27.144862999	0.0084125466499
204.0	0.31327391192	0.29075522222	89.724874218	0.86202129634	27.137978704000002	0.0084222184872
205.0	0.31498595319	0.29108950116	89.67133626399999	0.8689411114100001	27.131058889000002	0.0084319014443
206.0	0.31670682713	0.29142416443	89.61778779	0.87589662686	27.124103373	0.0084415955337
207.0	0.31843657879	0.29175921245	89.564229043	0.8828880246899999	27.117111975	0.0084513007683
208.0	0.32017525343	0.29209464567	89.510660269	0.88991548787	27.110084511999997	0.008461017161
209.0	0.32192289653	0.29243046454	89.457081718	0.89697920028	27.1030208	0.0084707447245
210.0	0.32367955384	0.2927666695	89.40349363799999	0.90407934672	27.095920653	0.0084804834718
211.0	0.3254452713	0.29310326099	89.349896284	0.91121611297	27.088783886999998	0.0084902334156
212.0	0.32722009511	0.29344023946	89.296289907	0.9183896856999999	27.081610314000002	0.0084999945688
213.0	0.32900407169	0.29377760535	89.24267476200001	0.9256002525799999	27.074399746999998	0.0085097669444
214.0	0.33079724771	0.2941153591	89.18905110799999	0.93284800221	27.067151998000003	0.008519550555100001
215.0	0.33259967006	0.29445350117	89.13541920200001	0.9401331241399999	27.059866875999997	0.008529345414
216.0	0.33441138589	0.294792032	89.081779305	0.9474558089	27.052544191	0.008539151533999999
217.0	0.33623244256	0.29513095203	89.028131678	0.95481624798	27.045183752	0.008548968928
218.0	0.33806288771	0.29547026172	88.974476584	0.9622146338500001	27.037785365999998	0.008558797609
219.0	0.33990276918	0.29580996151	88.92081429	0.9696511599500001	27.03034884	0.0085686375899
220.0	0.34175213508	0.29615005185	88.867145061	0.9771260206999999	27.022873979	0.0085784888838
221.0	0.34361103377	0.29649053319	88.81346916700001	0.98463941153	27.015360588000004	0.008588351503600001
222.0	0.34547951383	0.29683140597	88.75978687799999	0.9921915288400001	27.007808471	0.0085982254624
223.0	0.3473576241	0.29717267066	88.706098466	0.9997825700399999	27.00021743	0.008608110773200001
224.0	0.34924541367	0.29751432769	88.652404205	1.0074127335	26.992587265999997	0.0086180074491
225.0	0.35114293189	0.29785637753	88.59870437	1.0150822187000001	26.984917781	0.0086279155031
226.0	0.35305022834	0.29819882062	88.54499923899999	1.0227912261	26.977208774	0.0086378349484
227.0	0.35496735285	0.29854165741	88.49128909	1.030539957	26.969460043	0.0086477657979
228.0	0.35689435554	0.29888488836	88.437574205	1.0383286140999999	26.961671386	0.008657708064799999
229.0	0.35883128673	0.29922851391	88.38385486600001	1.0461574006	26.953842599	0.0086676617623
230.0	0.36077819705	0.29957253453	88.33013135799999	1.0540265213	26.945973479000003	0.008677626903500001
231.0	0.36273513735	0.29991695067	88.27640396700001	1.0619361817	26.938063818000003	0.0086876035015
232.0	0.36470215875	0.30026176279	88.222672981	1.0698865884	26.930113411999997	0.0086975915695
233.0	0.36667931264	0.30060697132	88.16893869	1.0778779491	26.922122051	0.008707591120799999
234.0	0.36866665064	0.30095257675	88.115201385	1.0859104725	26.914089526999998	0.0087176021684
235.0	0.37066422468	0.30129857951	88.061461361	1.0939843684000001	26.906015632	0.008727624725700002
236.0	0.37267208691	0.30164498007	88.007718912	1.1020998476000001	26.897900152	0.008737658805799998
237.0	0.37469028977	0.30199177888	87.953974337	1.1102571222	26.889742878000003	0.008747704422000001
238.0	0.37671888596	0.30233897641	87.900227933	1.118456405	26.881543595	0.008757761587600001
239.0	0.37875792845	0.3026865731	87.846480003	1.1266979101	26.87330209	0.0087678303158
240.0	0.38080747047	0.30303456943	87.79273084799999	1.1349818528	26.865018146999997	0.0087779106199
241.0	0.38286756553	0.30338296584	87.738980775	1.1433084493	26.856691550999997	0.0087880025133
242.0	0.3849382674	0.3037317628	87.685230089	1.151677917	26.848322083000003	0.0087981060093
243.0	0.38701963015	0.30408096077	87.63147909899999	1.1600904744	26.839909526	0.008808221121200001
244.0	0.38911170809	0.30443056021	87.577728117	1.1685463409	26.831453659	0.0088183478623
245.0	0.39121455583	0.30478056158	87.52397745399999	1.1770457373999998	26.822954263000003	0.0088284862461
246.0	0.39332822826	0.30513096535	87.470227425	1.1855888856999999	26.814411114000002	0.0088386362859
247.0	0.39545278053	0.30548177197	87.416478346	1.1941760086	26.805823991	0.008848797995100001
248.0	0.39758826807	0.30583298191	87.362730536	1.2028073303	26.79719267	0.0088589713872
249.0	0.39973474662	0.30618459564	87.30898431600001	1.211483076	26.788516924	0.0088691564755
250.0	0.40189227218	0.30653661361	87.25524000700001	1.2202034720000001	26.779796528000002	0.0088793532735
251.0	0.40406090103	0.3068890363	87.201497935	1.2289687459	26.771031254	0.008889561794700001
252.0	0.40624068976	0.30724186416	87.147758425	1.2377791264	26.762220874	0.008899782052600001
253.0	0.40843169522	0.30759509766	87.094021806	1.2466348431999998	26.753365156999998	0.0089100140606
254.0	0.41063397457	0.30794873728	87.040288409	1.2555361273999999	26.744463873	0.008920257832299999
255.0	0.41284758525	0.30830278347	86.986558566	1.2644832111	26.735516789000002	0.0089305133811
256.0	0.41507258499	0.30865723671	86.93283261200001	1.2734763276999999	26.726523672	0.0089407807207
257.0	0.41730903183	0.30901209746	86.879110884	1.2825157118000001	26.717484288	0.0089510598645
258.0	0.41955698408	0.30936736618	86.82539371899999	1.291601599	26.708398401	0.0089613508262
259.0	0.42181650036	0.30972304336	86.77168146	1.3007342264	26.699265774	0.0089716536194
260.0	0.4240876396	0.31007912946	86.717974449	1.3099138318999999	26.690086168	0.0089819682575
261.0	0.42637046101	0.31043562495	86.66427303100001	1.3191406551	26.680859345	0.008992294754399999
262.0	0.4286650241	0.31079253029	86.610577553	1.3284149364	26.671585064000002	0.0090026331235
